hjd,camera,mag,mag_err,flux,flux_err
2457020.74609,ba,11.468,0.02,100.755,1.854
2458383.89923,be,11.462,0.02,99.84,1.837
2458210.50295,be,11.505,0.02,95.931,1.765
2457419.60099,be,11.485,0.02,97.707,1.798
2458029.97934,ba,11.541,0.02,94.148,1.732
2457415.65351,be,11.459,0.02,100.071,1.841
2456893.08983,ba,11.482,0.02,99.459,1.83
2457398.74685,be,11.465,0.02,99.555,1.832
2457639.79778,be,11.457,0.02,100.23,1.844
2456969.71771,be,11.555,0.02,91.638,1.686
2456862.90554,be,12.321,0.02,45.246,0.833
2457053.82487,ba,11.495,0.02,98.262,1.808
2458056.68098,be,11.443,0.02,101.525,1.868
2457010.66249,be,11.464,0.02,99.599,1.833
2456905.06135,ba,11.468,0.02,100.7,1.853
2457458.56986,be,11.476,0.02,98.478,1.812
2457804.72075,ba,11.474,0.02,100.164,1.843
2456993.81889,ba,11.433,0.02,104.033,1.914
2457446.71816,ba,11.591,0.02,89.941,1.655
2456874.86444,be,12.962,0.02,25.076,0.461
2457389.7697,be,11.474,0.02,98.656,1.815
2456318.85211,ba,11.569,0.02,91.767,1.689
2457848.48896,be,11.48,0.02,98.146,1.806
2457409.67503,be,11.469,0.02,99.161,1.825
2457691.80086,be,11.509,0.02,95.568,1.758
2457354.72837,be,11.538,0.02,93.066,1.712
2457791.52295,be,11.587,0.02,88.926,1.636
2457471.53086,be,11.534,0.02,93.35,1.718
2458197.53432,be,11.82,0.02,71.781,1.321
2457007.7747,be,11.456,0.02,100.322,1.846
2457947.92634,be,11.482,0.02,97.998,1.803
2458067.70058,be,11.484,0.02,97.795,1.799
2458148.79678,ba,12.763,0.02,30.556,0.562
2457444.61648,be,11.467,0.02,99.319,1.827
2458052.69388,be,11.472,0.02,98.913,1.82
2458013.84854,be,11.467,0.02,99.371,1.828
2457005.79092,be,11.452,0.02,100.694,1.853
2457485.48804,be,11.59,0.02,88.682,1.632
2457699.6236,be,12.95,0.02,25.342,0.466
2456836.94242,be,11.44,0.02,101.876,1.875
2457247.84532,be,11.468,0.02,99.289,1.827
2456909.86026,be,11.461,0.02,99.867,1.838
2458451.0096,ba,11.463,0.02,101.158,1.861
2457704.86955,ba,11.436,0.02,103.775,1.909
2457294.75771,be,11.505,0.02,95.889,1.764
2456988.86493,ba,11.447,0.02,102.683,1.889
2457465.54972,be,11.513,0.02,95.198,1.752
2457064.58874,be,11.701,0.02,80.104,1.474
2458084.56633,be,11.476,0.02,98.535,1.813
2458344.88462,be,11.462,0.02,99.764,1.836
2457979.87762,be,12.494,0.02,38.561,0.71
2457015.895,ba,11.696,0.02,81.615,1.502
2458368.80385,be,11.514,0.02,95.148,1.751
2457041.63243,be,11.477,0.02,98.426,1.811
2458207.51325,be,11.518,0.02,94.8,1.744
2457096.55386,be,11.501,0.02,96.303,1.772
2457806.72501,ba,11.457,0.02,101.745,1.872
2458208.50467,be,11.526,0.02,94.094,1.731
2457709.95276,ba,11.469,0.02,100.594,1.851
2458085.57151,be,11.469,0.02,99.136,1.824
2457461.54396,be,11.469,0.02,99.136,1.824
2456508.12859,ba,11.885,0.02,68.578,1.262
2458446.96017,ba,11.735,0.02,78.726,1.449
2457451.72672,ba,11.563,0.02,92.275,1.698
2457851.48567,be,11.459,0.02,100.063,1.841
2457276.79061,be,11.563,0.02,90.955,1.674
2457655.74174,be,11.464,0.02,99.612,1.833
2457426.65979,be,11.455,0.02,100.463,1.849
2457829.52621,be,11.452,0.02,100.716,1.853
2457387.77317,be,11.476,0.02,98.523,1.813
2457405.62352,be,11.471,0.02,98.955,1.821
2458022.86061,be,11.464,0.02,99.656,1.834
