hjd,camera,mag,mag_err,flux,flux_err
2457223.00958,bd,11.615,0.02,86.668,1.595
2457151.12089,bc,11.05,0.02,146.67,2.699
2457263.06351,bd,11.719,0.02,78.795,1.45
2458019.01794,bc,11.379,0.02,108.327,1.993
2457531.09311,bc,11.089,0.02,141.514,2.604
2458325.95497,bd,11.191,0.02,128.041,2.356
2457904.0851,bc,11.67,0.02,82.839,1.524
2457370.81885,bd,11.463,0.02,99.681,1.834
2458377.8128,bd,11.032,0.02,148.285,2.728
2457996.97818,bd,11.599,0.02,88.001,1.619
2457697.89312,bc,11.391,0.02,107.086,1.97
2458026.83885,bc,11.707,0.02,80.105,1.474
2458024.90011,bd,11.257,0.02,120.544,2.218
2457274.97314,bc,11.523,0.02,94.885,1.746
2457270.98746,bc,11.624,0.02,86.476,1.591
2457384.708,bc,11.631,0.02,85.897,1.58
2457625.96242,bd,11.544,0.02,92.519,1.702
2457616.87131,bc,11.708,0.02,80.012,1.472
2457735.82481,bd,10.914,0.02,165.371,3.043
2458262.11279,bd,11.641,0.02,84.596,1.557
2457532.11303,bd,11.404,0.02,105.228,1.936
2457362.84465,bd,11.634,0.02,85.163,1.567
2457385.77375,bd,11.592,0.02,88.551,1.629
2458019.998,bc,11.066,0.02,144.536,2.659
2457044.70503,bd,11.668,0.02,82.584,1.52
2457045.70832,bd,11.098,0.02,139.549,2.568
2457369.74305,bc,11.151,0.02,133.616,2.459
2457931.03522,bc,11.716,0.02,79.386,1.461
2457178.06535,bc,11.319,0.02,114.5,2.107
2457746.78466,bd,11.596,0.02,88.195,1.623
2458054.70786,bd,10.981,0.02,155.422,2.86
2457273.93174,bd,11.22,0.02,124.658,2.294
2457747.73799,bc,11.713,0.02,79.614,1.465
2457751.72024,bc,11.655,0.02,83.983,1.545
2457656.95087,bd,11.001,0.02,152.551,2.807
2458078.88317,bd,11.65,0.02,83.945,1.545
2457177.089,bd,10.923,0.02,163.958,3.017
2457412.70647,bd,10.911,0.02,165.803,3.051
2458449.75132,bd,11.64,0.02,84.716,1.559
2457538.11035,bd,11.693,0.02,80.687,1.485
2457701.81527,bc,11.247,0.02,122.326,2.251
2457324.8486,bc,11.445,0.02,101.923,1.875
2458013.98243,bd,11.735,0.02,77.576,1.427
2458071.90297,bd,10.906,0.02,166.48,3.063
2457667.97068,bc,11.547,0.02,92.79,1.707
2458044.86252,bc,11.67,0.02,82.85,1.524
2458380.80277,bd,11.672,0.02,82.259,1.514
2458435.72296,bd,11.402,0.02,105.483,1.941
2457323.7695,bd,11.657,0.02,83.422,1.535
2457363.79437,bc,11.688,0.02,81.493,1.499
2457652.86145,bc,10.944,0.02,161.641,2.974
2457737.7819,bd,11.519,0.02,94.717,1.743
2457049.70673,bd,11.55,0.02,91.998,1.693
2458082.73699,bd,11.544,0.02,92.567,1.703
2457334.85414,bd,11.14,0.02,134.236,2.47
2457704.70744,bd,11.35,0.02,110.684,2.037
2457981.99047,bd,11.488,0.02,97.477,1.794
2457305.90857,bd,11.612,0.02,86.943,1.6
2458066.9188,bd,11.508,0.02,95.642,1.76
2457660.97316,bc,11.475,0.02,99.172,1.825
2457942.99825,bc,11.567,0.02,91.062,1.676
2457262.96503,bc,11.691,0.02,81.238,1.495
2458097.83523,bd,11.051,0.02,145.782,2.682
2457011.74642,bc,11.185,0.02,129.486,2.383
2457045.70498,bc,11.141,0.02,134.832,2.481
2458009.00886,bd,11.644,0.02,84.369,1.552
2457958.03765,bd,11.189,0.02,128.379,2.362
2458306.0805,bd,11.654,0.02,83.658,1.539
2457190.06524,bc,10.899,0.02,168.551,3.101
2457708.75317,bd,11.609,0.02,87.15,1.604
2458056.7248,bd,11.572,0.02,90.182,1.659
2458370.89469,bd,11.582,0.02,89.325,1.644
2458401.99211,bd,11.663,0.02,82.892,1.525
2457955.93562,bc,11.513,0.02,95.706,1.761
