hjd,camera,mag,mag_err,flux,flux_err
2457957.99282,bc,13.124,0.02324,23.168,0.495
2457612.03689,bd,13.199,0.02239,20.149,0.415
2457037.7144,bc,13.177,0.02289,22.051,0.464
2457560.08375,bd,13.136,0.02269,21.363,0.446
2458024.93242,bc,14.957,0.03724,4.282,0.147
2457735.83926,bc,13.117,0.02329,23.306,0.499
2457245.04481,bd,13.158,0.02257,20.925,0.435
2457314.90466,bd,13.509,0.02186,15.151,0.305
2457368.81085,bc,13.189,0.02282,21.805,0.458
2457428.72863,bd,13.176,0.02249,20.58,0.426
2457415.7092,bd,13.143,0.02265,21.22,0.442
2458112.81415,bd,14.448,0.0289,6.377,0.17
2458013.83434,bc,13.183,0.02285,21.93,0.461
2458056.72758,bd,13.157,0.02258,20.937,0.435
2457042.72284,bd,13.179,0.02247,20.518,0.424
2457007.77581,bd,13.191,0.02242,20.299,0.419
2457706.95876,bd,13.131,0.02272,21.461,0.449
2457659.04309,bd,13.143,0.02265,21.217,0.442
2457984.05212,bd,13.155,0.02259,20.977,0.436
2457227.97457,bc,13.185,0.02284,21.888,0.46
2457212.01316,bc,13.563,0.02185,15.458,0.311
2457270.10638,bd,13.178,0.02248,20.536,0.425
2457637.95386,bc,13.146,0.02309,22.698,0.482
2457357.93211,bd,13.173,0.0225,20.647,0.427
2457746.86534,bd,13.177,0.02248,20.565,0.425
2457746.80745,bc,13.149,0.02307,22.636,0.48
2458010.87326,bc,13.212,0.02269,21.358,0.446
2457189.05232,bc,13.173,0.02291,22.142,0.467
2457272.02971,bd,13.609,0.022,13.81,0.28
2458049.73896,bc,13.178,0.02288,22.032,0.464
2457008.74134,bc,13.716,0.02208,13.425,0.273
2457357.75516,bc,13.173,0.02291,22.136,0.467
2458022.83143,bd,13.165,0.02254,20.793,0.431
2457380.73768,bc,13.139,0.02314,22.835,0.486
2457399.71818,bc,13.181,0.02287,21.981,0.462
2457323.82944,bd,13.185,0.02245,20.411,0.422
2457416.76681,bd,13.155,0.02259,20.98,0.436
2457765.7914,bd,13.153,0.0226,21.031,0.437
2457204.06961,bd,13.17,0.02252,20.699,0.429
2457988.94622,bc,13.16,0.023,22.399,0.474
