hjd,camera,mag,mag_err,flux,flux_err
2458071.72666,bg,11.922,0.02,65.35,1.202
2458087.81439,bg,12.179,0.02,51.543,0.948
2457781.62656,bg,12.589,0.02,35.352,0.65
2457751.76038,bg,12.24,0.02,48.752,0.897
2458229.59987,bg,12.204,0.02,50.375,0.927
2457444.70767,bg,12.551,0.02,36.61,0.674
2457446.74379,bg,12.469,0.02,39.488,0.727
2457749.64737,bg,11.991,0.02,61.312,1.128
2458196.69416,bg,12.343,0.02,44.337,0.816
2457460.68966,bg,12.423,0.02,41.192,0.758
2458137.62229,bg,11.751,0.02,76.463,1.407
2457629.90158,bg,12.153,0.02,52.802,0.972
2457457.60561,bg,12.484,0.02,38.917,0.716
2458164.58933,bg,11.772,0.02,74.999,1.38
2458187.68288,bg,12.354,0.02,43.879,0.807
2458375.87903,bg,12.415,0.02,41.505,0.764
2458127.64713,bg,12.134,0.02,53.727,0.989
2457478.65521,bg,11.86,0.02,69.187,1.273
2457480.64122,bg,12.03,0.02,59.123,1.088
2458129.65917,bg,12.391,0.02,42.421,0.781
2458116.66345,bg,12.428,0.02,41.005,0.754
2457901.47148,bg,12.448,0.02,40.244,0.74
2457742.67413,bg,12.523,0.02,37.569,0.691
2458213.65321,bg,12.511,0.02,37.963,0.699
2458188.68397,bg,12.272,0.02,47.348,0.871
2458191.71039,bg,11.807,0.02,72.61,1.336
2458007.8832,bg,12.292,0.02,46.457,0.855
2457856.62423,bg,11.925,0.02,65.121,1.198
2457716.76511,bg,12.311,0.02,45.677,0.84
2458228.6015,bg,12.312,0.02,45.603,0.839
2457759.73153,bg,11.472,0.02,98.921,1.82
2458141.61693,bg,12.185,0.02,51.292,0.944
2458173.72812,bg,12.433,0.02,40.789,0.751
2458238.49987,bg,12.521,0.02,37.622,0.692
2458034.83411,bg,12.298,0.02,46.208,0.85
2458211.65362,bg,12.516,0.02,37.786,0.695
2458206.63036,bg,11.968,0.02,62.607,1.152
2457466.69006,bg,11.969,0.02,62.554,1.151
2458195.69912,bg,12.227,0.02,49.352,0.908
2457832.61434,bg,12.247,0.02,48.429,0.891
2457845.65001,bg,12.197,0.02,50.692,0.933
2457674.79945,bg,12.633,0.02,33.935,0.624
2457813.59141,bg,11.484,0.02,97.839,1.8
2457768.73853,bg,12.59,0.02,35.322,0.65
2457770.7265,bg,12.315,0.02,45.504,0.837
2458212.64957,bg,12.541,0.02,36.949,0.68
2457641.88252,bg,12.035,0.02,58.872,1.083
2458365.88413,bg,11.578,0.02,89.678,1.65
2457833.6489,bg,12.397,0.02,42.167,0.776
2457838.5299,bg,12.311,0.02,45.659,0.84
2457654.85022,bg,11.949,0.02,63.705,1.172
2457864.59532,bg,12.337,0.02,44.59,0.82
2457756.80681,bg,12.408,0.02,41.767,0.769
2458230.59909,bg,11.544,0.02,92.506,1.702
2457821.71361,bg,12.536,0.02,37.099,0.683
2458383.86032,bg,12.19,0.02,51.063,0.94
2457700.85234,bg,12.565,0.02,36.119,0.665
2458172.70951,bg,12.562,0.02,36.221,0.666
2458077.82149,bg,12.566,0.02,36.105,0.664
2457634.88792,bg,12.544,0.02,36.841,0.678
2457694.77072,bg,11.926,0.02,65.105,1.198
2457659.83716,bg,12.541,0.02,36.934,0.68
