hjd,camera,mag,mag_err,flux,flux_err
2457007.87189,bd,12.044,0.02,60.58,1.115
2457946.11641,bc,12.378,0.02,42.918,0.79
2457653.07766,bc,11.945,0.02,63.967,1.177
2457618.01804,bc,12.52,0.02,37.656,0.693
2458120.90309,bd,12.053,0.02,60.086,1.106
2457275.00944,bc,12.469,0.02,39.491,0.727
2458373.08212,bd,12.046,0.02,60.483,1.113
2457989.07926,bc,11.951,0.02,63.628,1.171
2457765.88985,bd,12.514,0.02,39.286,0.723
2457363.96502,bc,12.473,0.02,39.339,0.724
2457228.08234,bc,11.93,0.02,64.867,1.194
2458317.09049,bc,12.008,0.02,60.353,1.11
2457695.05022,bc,12.023,0.02,59.551,1.096
2457413.85114,bd,12.553,0.02,37.92,0.698
2457998.07768,bd,12.07,0.02,59.141,1.088
2458394.056,bd,12.412,0.02,43.155,0.794
2457073.73834,bc,12.035,0.02,58.854,1.083
2457672.90729,bd,12.23,0.02,51.018,0.939
2457368.84382,bc,11.99,0.02,61.349,1.129
2457581.11633,bc,12.032,0.02,59.02,1.086
2458167.75143,bd,12.217,0.02,51.641,0.95
2457758.76231,bd,12.204,0.02,52.269,0.962
2457411.83374,bd,12.317,0.02,47.107,0.867
2457359.88507,bd,12.085,0.02,58.355,1.074
2458169.74341,bc,12.024,0.02,59.46,1.094
2457784.84024,bd,12.035,0.02,61.105,1.124
2457773.838,bc,12.517,0.02,37.784,0.695
2457970.06171,bc,12.502,0.02,38.298,0.705
2458056.85414,bd,12.198,0.02,52.571,0.967
2457802.80148,bd,12.062,0.02,59.609,1.097
2457234.08033,bc,12.497,0.02,38.475,0.708
2457981.06105,bc,11.995,0.02,61.068,1.124
2457674.08871,bd,12.41,0.02,43.236,0.796
2457972.08364,bd,11.977,0.02,64.426,1.185
2457342.7747,bc,11.938,0.02,64.355,1.184
2458370.97919,bc,12.514,0.02,37.858,0.697
2457622.02359,bc,12.011,0.02,60.183,1.107
2457384.93315,bd,12.056,0.02,59.912,1.102
2457044.82211,bc,12.46,0.02,39.82,0.733
2458427.96139,bc,12.51,0.02,38.016,0.699
2457320.91299,bd,12.197,0.02,52.633,0.968
2457021.83621,bc,12.395,0.02,42.262,0.778
2458119.85462,bd,11.979,0.02,64.304,1.183
2457703.82395,bd,12.051,0.02,60.174,1.107
2458120.77229,bc,12.036,0.02,58.827,1.082
2457784.80653,bc,12.003,0.02,60.645,1.116
2458027.91101,bc,12.391,0.02,42.425,0.781
2457317.87713,bd,11.958,0.02,65.584,1.207
2457008.88505,bd,12.033,0.02,61.209,1.126
2457682.08561,bc,12.315,0.02,45.507,0.837
2457703.77806,bc,12.001,0.02,60.744,1.118
2457783.80425,bc,11.985,0.02,61.628,1.134
2457318.01874,bc,11.911,0.02,66.003,1.214
2457803.74321,bc,12.194,0.02,50.847,0.936
2458153.79382,bc,12.025,0.02,59.419,1.093
2457439.77788,bd,12.197,0.02,52.619,0.968
2457698.01916,bd,12.302,0.02,47.763,0.879
2457709.87315,bd,12.143,0.02,55.282,1.017
2458118.83218,bd,12.153,0.02,54.804,1.008
2457445.71734,bc,12.473,0.02,39.323,0.724
2457669.02698,bc,12.08,0.02,56.465,1.039
2458383.10476,bc,11.95,0.02,63.645,1.171
2457285.04771,bc,11.945,0.02,63.983,1.177
2457424.82372,bd,12.021,0.02,61.887,1.139
2458406.96676,bc,11.997,0.02,60.98,1.122
2457736.81024,bd,12.038,0.02,60.932,1.121
2457619.04732,bd,12.403,0.02,43.506,0.801
2457011.86088,bc,12.427,0.02,41.028,0.755
2457584.10826,bc,12.347,0.02,44.174,0.813
2457387.75587,bc,12.354,0.02,43.879,0.807
2457377.73894,bc,12.091,0.02,55.914,1.029
2457308.87864,bc,12.169,0.02,52.06,0.958
2457759.83339,bc,11.944,0.02,63.993,1.177
2457298.06783,bc,12.384,0.02,42.677,0.785
2458326.08116,bc,12.009,0.02,60.305,1.11
2457359.84195,bc,12.07,0.02,56.996,1.049
2457070.74927,bc,12.445,0.02,40.35,0.742
2458111.88514,bc,11.969,0.02,62.59,1.152
2457674.86499,bc,12.468,0.02,39.506,0.727
2458000.00868,bd,12.237,0.02,50.722,0.933
2457609.11357,bd,12.503,0.02,39.706,0.731
2457080.7813,bd,11.97,0.02,64.856,1.193
2457222.12427,bd,12.084,0.02,58.374,1.074
2457686.90504,bd,12.062,0.02,59.594,1.097
2458029.92745,bd,11.984,0.02,64.036,1.178
2457324.95319,bd,12.274,0.02,49.032,0.902
2457399.79227,bc,11.924,0.02,65.186,1.199
2457622.05345,bd,12.054,0.02,60.027,1.104
2457010.86541,bc,12.261,0.02,47.82,0.88
2457798.79474,bd,12.457,0.02,41.415,0.762
2457069.75586,bc,12.516,0.02,37.819,0.696
2457422.81913,bd,12.373,0.02,44.739,0.823
2458059.87432,bd,12.55,0.02,38.019,0.7
2458111.86377,bd,12.01,0.02,62.483,1.15
2457690.00992,bd,12.34,0.02,46.124,0.849
2457755.92383,bd,12.414,0.02,43.087,0.793
2457069.77708,bd,12.534,0.02,38.565,0.71
2457304.05691,bc,12.102,0.02,55.369,1.019
2457009.86642,bc,12.15,0.02,52.965,0.975
2458023.92716,bc,12.089,0.02,56.01,1.031
2457358.00215,bd,12.179,0.02,53.491,0.984
2458046.08639,bc,11.929,0.02,64.914,1.194
